"Date","Particulars","Voucher Type","Narration","Gross Total","Purchase"
"02-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2250.0","-2250.0"
"02-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/lal babu/krishnan/hindi","-4000.0","-4000.0"
"04-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","diesel","-2781.0","-2781.0"
"04-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","srimathi","-10960.0","-10960.0"
"04-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2287.5","-2287.5"
"04-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/hindi","-2375.0","-2375.0"
"05-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-3723.75","-3723.75"
"05-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/lal babu/krishnan/hindi","-4375.0","-4375.0"
"06-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-3645.0","-3645.0"
"06-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/lal babu/krishnan/hindi","-4750.0","-4750.0"
"06-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","pipe","-180.0","-180.0"
"07-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","916/3110","-2900.0","-2900.0"
"07-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2073.75","-2073.75"
"07-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/krishnan/hindi","-3750.0","-3750.0"
"09-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-5282.19","-5282.19"
"09-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/lal babu/krishnan/hindi","-5125.0","-5125.0"
"10-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-5636.25","-5636.25"
"10-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan/hindi","-3125.0","-3125.0"
"11-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","material","-242.0","-242.0"
"11-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-4733.75","-4733.75"
"11-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/hindi","-2375.0","-2375.0"
"12-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","8X4X4MM  HR SHEET/MEGHALAI STEELS","-6075.23","-6075.23"
"12-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-4240.61","-4240.61"
"12-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/lal babu","-2875.0","-2875.0"
"13-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-4633.72","-4633.72"
"13-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan/hindi","-2500.0","-2500.0"
"14-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","meghalai steels","-92675.0","-92675.0"
"14-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","kamatchi tools","-336.56","-336.56"
"14-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","ayya cylinder","-450.0","-450.0"
"14-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-3634.96","-3634.96"
"14-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","krishnan/hindi","-2000.0","-2000.0"
"16-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2202.5","-2202.5"
"16-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","hindi lab","-1375.0","-1375.0"
"17-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2310.0","-2310.0"
"17-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan","-750.0","-750.0"
"18-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","INTECH VALVES","-12852.0","-12852.0"
"18-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-6831.29","-6831.29"
"18-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan/hindi","-3375.0","-3375.0"
"19-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","intech valves & tubes","-2673.0","-2673.0"
"19-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-7003.74","-7003.74"
"19-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","krishnan/hindi","-3875.0","-3875.0"
"20-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","kamatchi tools","-1339.0","-1339.0"
"20-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-9751.81","-9751.81"
"20-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","srimathi","-1470.0","-1470.0"
"20-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","bharath/lal babu/krishnan/hindi","-6250.0","-6250.0"
"21-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-10305.27","-10305.27"
"21-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan/hindi","-3750.0","-3750.0"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","rajasthan grill /4""lorry hinges","-1062.0","-1062.0"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","SRI AKILANDESWARI STEELS","-2150.0","-2150.0"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-8451.2","-8451.2"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/hindi","-2750.0","-2750.0"
"24-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","vibhor enterprises","-9800.0","-9800.0"
"24-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-7449.02","-7449.02"
"24-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/hindi","-2750.0","-2750.0"
"25-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-5097.61","-5097.61"
"25-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/jiththu","-2750.0","-2750.0"
"26-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-3094.96","-3094.96"
"26-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan/jiththu","-2125.0","-2125.0"
"27-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","sri akilandeswari steels","-2350.0","-2350.0"
"27-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2339.96","-2339.96"
"27-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu","-1375.0","-1375.0"
"28-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu","-1000.0","-1000.0"
"28-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","sleeve/tg","-180.0","-180.0"
"28-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-3654.96","-3654.96"
"30-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","pipe","-140.0","-140.0"
"30-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2028.07","-2028.07"
"31-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2913.75","-2913.75"
"31-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-1065.57","-1065.57"
